,c_ul,c_ur,c_lr,c_ll
p_2_8,"(32, 39)","(269, 30)","(269, 221)","(25, 224)"
p_2_9,"(25, 38)","(269, 35)","(276, 219)","(32, 222)"
p_2_10,"(28, 30)","(272, 27)","(263, 217)","(25, 205)"
p_2_11,"(80, 76)","(318, 88)","(318, 260)","(73, 261)"
p_2_12,"(81, 48)","(326, 47)","(336, 238)","(86, 230)"
p_2_13,"(71, 38)","(321, 46)","(313, 211)","(72, 229)"
p_2_14,"(34, 47)","(275, 29)","(279, 223)","(37, 230)"
p_2_15,"(75, 87)","(317, 80)","(317, 261)","(75, 264)"
p_2_16,"(40, 88)","(282, 85)","(281, 260)","(35, 269)"
p_2_17,"(35, 37)","(281, 28)","(275, 210)","(28, 218)"
p_2_18,"(30, 34)","(277, 26)","(281, 219)","(36, 217)"
p_2_19,"(66, 39)","(311, 41)","(316, 217)","(65, 226)"
p_2_20,"(65, 95)","(316, 86)","(317, 278)","(73, 270)"
p_2_21,"(64, 69)","(308, 77)","(303, 260)","(55, 263)"
p_2_22,"(72, 37)","(320, 34)","(320, 211)","(75, 216)"
p_2_23,"(27, 71)","(272, 66)","(285, 252)","(34, 245)"
p_2_24,"(39, 96)","(290, 103)","(274, 289)","(32, 281)"
p_2_25,"(29, 70)","(271, 78)","(280, 256)","(28, 260)"
p_2_26,"(74, 101)","(326, 97)","(319, 269)","(75, 281)"
p_2_27,"(33, 41)","(277, 29)","(284, 222)","(31, 219)"
p_2_28,"(88, 37)","(341, 40)","(329, 220)","(89, 224)"
p_2_29,"(72, 36)","(312, 32)","(320, 214)","(71, 214)"
p_3_0,"(74, 34)","(328, 34)","(321, 219)","(80, 218)"
p_3_1,"(87, 30)","(328, 31)","(326, 204)","(79, 215)"
p_3_2,"(83, 41)","(330, 30)","(328, 214)","(84, 226)"
p_3_3,"(80, 92)","(324, 80)","(320, 266)","(89, 264)"
p_3_4,"(61, 90)","(292, 92)","(302, 273)","(59, 275)"
p_3_5,"(30, 91)","(273, 89)","(271, 275)","(30, 284)"
p_3_6,"(71, 50)","(312, 41)","(307, 226)","(68, 223)"
p_3_7,"(64, 102)","(303, 105)","(312, 286)","(59, 274)"
p_3_8,"(66, 31)","(319, 43)","(306, 224)","(66, 222)"
p_3_9,"(63, 67)","(303, 69)","(307, 248)","(70, 251)"
p_3_10,"(91, 96)","(328, 93)","(327, 273)","(82, 286)"
p_3_11,"(53, 91)","(298, 78)","(302, 272)","(53, 263)"
p_3_12,"(28, 82)","(277, 91)","(283, 264)","(38, 273)"
p_3_13,"(73, 49)","(318, 40)","(307, 230)","(65, 214)"
p_3_14,"(28, 65)","(270, 81)","(270, 255)","(32, 259)"
p_3_15,"(36, 88)","(274, 84)","(276, 268)","(36, 269)"
p_3_16,"(35, 76)","(275, 75)","(280, 265)","(34, 251)"
p_3_17,"(34, 28)","(280, 42)","(274, 220)","(28, 210)"
p_3_18,"(88, 100)","(334, 110)","(338, 292)","(92, 293)"
p_3_19,"(62, 31)","(308, 30)","(308, 213)","(67, 207)"
p_3_20,"(37, 75)","(278, 81)","(278, 262)","(38, 267)"
p_3_21,"(67, 100)","(307, 95)","(307, 278)","(62, 283)"
p_3_22,"(29, 34)","(274, 29)","(273, 216)","(29, 211)"
p_3_23,"(65, 75)","(309, 80)","(310, 254)","(78, 261)"
p_3_24,"(80, 80)","(312, 73)","(312, 259)","(64, 266)"
p_3_25,"(31, 36)","(279, 29)","(278, 215)","(40, 214)"
p_3_26,"(65, 31)","(303, 32)","(306, 218)","(58, 203)"
p_3_27,"(24, 26)","(272, 41)","(266, 217)","(31, 219)"
p_3_28,"(44, 44)","(279, 42)","(281, 224)","(32, 224)"
p_3_29,"(29, 29)","(278, 29)","(278, 211)","(37, 211)"
p_4_0,"(34, 27)","(262, 27)","(269, 209)","(27, 212)"
p_4_1,"(63, 80)","(305, 77)","(303, 262)","(61, 253)"
p_4_2,"(82, 33)","(324, 42)","(322, 228)","(80, 217)"
p_4_3,"(33, 70)","(275, 81)","(280, 260)","(29, 256)"
p_4_4,"(25, 68)","(276, 72)","(272, 252)","(35, 249)"
p_4_5,"(31, 31)","(268, 34)","(268, 216)","(29, 217)"
p_4_6,"(44, 32)","(283, 31)","(284, 218)","(39, 217)"
p_4_7,"(31, 37)","(276, 38)","(270, 221)","(40, 218)"
p_4_8,"(83, 68)","(313, 71)","(322, 251)","(70, 249)"
p_4_9,"(65, 95)","(317, 97)","(304, 278)","(69, 274)"
p_4_10,"(35, 27)","(270, 31)","(276, 215)","(34, 207)"
p_4_11,"(82, 89)","(324, 97)","(329, 276)","(86, 283)"
p_4_12,"(38, 38)","(281, 31)","(284, 221)","(44, 211)"
p_4_13,"(36, 79)","(276, 89)","(272, 263)","(25, 269)"
p_4_14,"(28, 99)","(275, 93)","(281, 275)","(28, 273)"
p_4_15,"(71, 92)","(324, 94)","(316, 273)","(73, 276)"
p_4_16,"(25, 99)","(268, 96)","(275, 287)","(30, 289)"
p_4_17,"(32, 28)","(277, 26)","(274, 209)","(26, 206)"
p_4_18,"(38, 84)","(286, 87)","(287, 264)","(42, 266)"
p_4_19,"(33, 73)","(278, 71)","(281, 258)","(33, 256)"
p_4_20,"(27, 80)","(275, 82)","(269, 269)","(27, 261)"
p_4_21,"(37, 33)","(279, 41)","(276, 215)","(37, 216)"
p_4_22,"(25, 97)","(264, 96)","(269, 277)","(24, 284)"
p_4_23,"(78, 40)","(323, 33)","(327, 217)","(79, 214)"
p_4_24,"(24, 87)","(272, 90)","(263, 271)","(24, 273)"
p_4_25,"(28, 73)","(267, 71)","(270, 254)","(27, 259)"
p_4_26,"(29, 82)","(272, 77)","(262, 265)","(32, 268)"
p_4_27,"(77, 47)","(307, 44)","(314, 219)","(71, 223)"
p_4_28,"(26, 42)","(269, 38)","(271, 223)","(28, 224)"
p_4_29,"(28, 100)","(271, 99)","(272, 282)","(28, 282)"
p_5_0,"(37, 29)","(287, 29)","(286, 209)","(44, 211)"
p_5_1,"(31, 31)","(273, 29)","(278, 209)","(29, 216)"
p_5_2,"(30, 108)","(279, 101)","(270, 290)","(28, 294)"
p_5_3,"(57, 84)","(299, 80)","(298, 261)","(62, 263)"
p_5_4,"(70, 75)","(306, 73)","(307, 250)","(66, 255)"
p_5_5,"(28, 38)","(269, 33)","(269, 223)","(28, 220)"
p_5_6,"(24, 65)","(265, 68)","(266, 253)","(25, 252)"
p_5_7,"(35, 35)","(276, 36)","(285, 214)","(29, 218)"
p_5_8,"(25, 99)","(281, 95)","(270, 281)","(34, 279)"
p_5_9,"(42, 26)","(278, 28)","(288, 206)","(29, 207)"
p_5_10,"(60, 44)","(319, 43)","(318, 219)","(66, 228)"
p_5_11,"(61, 50)","(313, 41)","(305, 226)","(66, 229)"
p_5_12,"(24, 38)","(263, 35)","(264, 223)","(27, 228)"
p_5_13,"(76, 79)","(313, 74)","(318, 246)","(72, 253)"
p_5_14,"(33, 35)","(279, 28)","(280, 218)","(39, 217)"
p_5_15,"(74, 37)","(315, 38)","(310, 223)","(66, 216)"
p_5_16,"(85, 39)","(329, 46)","(321, 217)","(92, 230)"
p_5_17,"(71, 85)","(300, 72)","(311, 263)","(68, 268)"
p_5_18,"(24, 89)","(267, 84)","(266, 263)","(25, 266)"
p_5_19,"(72, 32)","(313, 29)","(320, 216)","(75, 219)"
p_5_20,"(40, 31)","(285, 28)","(269, 213)","(34, 218)"
p_5_21,"(32, 31)","(267, 26)","(273, 195)","(29, 205)"
p_5_22,"(72, 38)","(316, 28)","(314, 222)","(77, 219)"
p_5_23,"(24, 86)","(261, 89)","(264, 265)","(28, 270)"
p_5_24,"(71, 37)","(307, 32)","(311, 219)","(62, 218)"
p_5_25,"(89, 108)","(338, 109)","(343, 295)","(92, 291)"
p_5_26,"(46, 30)","(297, 34)","(293, 216)","(36, 218)"
p_5_27,"(29, 30)","(286, 28)","(286, 216)","(36, 205)"
p_5_28,"(74, 32)","(324, 43)","(321, 222)","(76, 217)"
p_5_29,"(30, 69)","(275, 74)","(276, 252)","(31, 252)"
p_6_0,"(36, 28)","(278, 28)","(268, 209)","(35, 208)"
p_6_1,"(28, 71)","(261, 72)","(267, 259)","(33, 251)"
p_6_2,"(41, 29)","(275, 37)","(280, 213)","(32, 218)"
p_6_3,"(70, 89)","(318, 84)","(318, 267)","(69, 270)"
p_6_4,"(26, 29)","(275, 26)","(271, 203)","(27, 206)"
p_6_5,"(28, 29)","(272, 26)","(276, 214)","(28, 219)"
p_6_6,"(63, 33)","(311, 28)","(302, 220)","(64, 218)"
p_6_7,"(24, 24)","(262, 26)","(267, 200)","(33, 202)"
p_6_8,"(91, 91)","(325, 89)","(329, 266)","(80, 277)"
p_6_9,"(67, 43)","(316, 32)","(316, 214)","(77, 221)"
p_6_10,"(26, 85)","(265, 78)","(257, 268)","(25, 261)"
p_6_11,"(39, 33)","(271, 40)","(281, 213)","(31, 218)"
p_6_12,"(77, 37)","(327, 32)","(330, 219)","(78, 225)"
p_6_13,"(31, 84)","(283, 78)","(270, 271)","(36, 256)"
p_6_14,"(62, 28)","(296, 43)","(307, 214)","(63, 218)"
p_6_15,"(43, 34)","(287, 30)","(285, 212)","(38, 219)"
p_6_16,"(38, 100)","(285, 93)","(283, 283)","(30, 271)"
p_6_17,"(25, 27)","(278, 39)","(272, 220)","(36, 218)"
p_6_18,"(68, 28)","(304, 30)","(308, 206)","(67, 207)"
p_6_19,"(64, 81)","(305, 80)","(300, 264)","(71, 268)"
p_6_20,"(47, 32)","(276, 28)","(285, 207)","(31, 217)"
p_6_21,"(57, 41)","(311, 31)","(308, 222)","(63, 210)"
p_6_22,"(77, 31)","(322, 43)","(330, 228)","(75, 225)"
p_6_23,"(75, 85)","(330, 88)","(332, 268)","(78, 261)"
p_6_24,"(25, 93)","(279, 100)","(268, 284)","(29, 280)"
p_6_25,"(28, 38)","(267, 42)","(273, 223)","(33, 224)"
p_6_26,"(34, 81)","(274, 80)","(269, 261)","(30, 263)"
p_6_27,"(40, 31)","(279, 29)","(279, 206)","(40, 219)"
p_6_28,"(84, 107)","(323, 94)","(328, 281)","(81, 286)"
p_6_29,"(74, 38)","(321, 33)","(319, 216)","(75, 216)"
p_7_0,"(36, 26)","(279, 26)","(279, 210)","(26, 207)"
p_7_1,"(25, 88)","(278, 91)","(276, 273)","(31, 275)"
p_7_2,"(24, 86)","(269, 84)","(269, 260)","(29, 262)"
p_7_3,"(74, 48)","(314, 46)","(314, 232)","(74, 231)"
p_7_4,"(86, 75)","(326, 76)","(325, 262)","(82, 252)"
p_7_5,"(70, 28)","(313, 38)","(313, 227)","(74, 216)"
p_7_6,"(89, 90)","(328, 101)","(329, 278)","(80, 282)"
p_7_7,"(69, 46)","(318, 42)","(319, 222)","(74, 220)"
p_7_8,"(28, 28)","(273, 30)","(275, 211)","(32, 205)"
p_7_9,"(28, 79)","(271, 85)","(270, 266)","(28, 261)"
p_7_10,"(71, 80)","(313, 85)","(312, 263)","(63, 270)"
p_7_11,"(25, 32)","(274, 25)","(267, 212)","(35, 205)"
p_7_12,"(30, 71)","(262, 78)","(271, 263)","(33, 258)"
p_7_13,"(78, 84)","(316, 89)","(311, 272)","(65, 277)"
p_7_14,"(75, 88)","(321, 83)","(321, 266)","(86, 259)"
p_7_15,"(29, 27)","(264, 34)","(265, 219)","(27, 209)"
p_7_16,"(30, 78)","(268, 88)","(268, 261)","(28, 268)"
p_7_17,"(78, 91)","(318, 84)","(321, 265)","(72, 272)"
p_7_18,"(71, 92)","(320, 85)","(313, 278)","(75, 268)"
p_7_19,"(32, 27)","(270, 37)","(281, 211)","(27, 211)"
p_7_20,"(30, 78)","(284, 78)","(277, 269)","(39, 257)"
p_7_21,"(39, 75)","(277, 87)","(281, 262)","(36, 266)"
p_7_22,"(53, 37)","(298, 33)","(293, 216)","(61, 222)"
p_7_23,"(84, 43)","(316, 37)","(316, 216)","(86, 223)"
p_7_24,"(64, 46)","(294, 39)","(298, 227)","(53, 230)"
p_7_25,"(27, 81)","(272, 78)","(271, 259)","(33, 262)"
p_7_26,"(70, 75)","(308, 72)","(303, 254)","(65, 256)"
p_7_27,"(34, 85)","(272, 83)","(280, 263)","(34, 262)"
p_7_28,"(30, 90)","(276, 91)","(285, 279)","(35, 277)"
p_7_29,"(36, 30)","(286, 32)","(279, 213)","(34, 213)"
p_8_0,"(61, 27)","(300, 27)","(302, 213)","(61, 211)"
p_8_1,"(76, 36)","(317, 38)","(317, 216)","(74, 218)"
p_8_2,"(80, 95)","(323, 93)","(318, 275)","(80, 271)"
p_8_3,"(27, 24)","(265, 28)","(272, 214)","(27, 210)"
p_8_4,"(32, 30)","(277, 34)","(270, 218)","(31, 216)"
p_8_5,"(77, 101)","(316, 103)","(324, 279)","(77, 290)"
p_8_6,"(36, 41)","(283, 30)","(285, 214)","(37, 218)"
p_8_7,"(79, 38)","(327, 34)","(326, 214)","(80, 218)"
p_8_8,"(38, 46)","(284, 42)","(279, 225)","(40, 227)"
p_8_9,"(28, 85)","(267, 83)","(264, 261)","(27, 266)"
p_8_10,"(67, 94)","(304, 89)","(308, 275)","(66, 272)"
p_8_11,"(76, 32)","(318, 35)","(318, 229)","(69, 219)"
p_8_12,"(62, 31)","(311, 41)","(314, 217)","(71, 216)"
p_8_13,"(38, 71)","(281, 72)","(281, 250)","(33, 254)"
p_8_14,"(34, 79)","(282, 75)","(273, 261)","(34, 262)"
p_8_15,"(24, 83)","(263, 82)","(272, 261)","(25, 268)"
p_8_16,"(25, 74)","(272, 67)","(269, 251)","(25, 247)"
p_8_17,"(24, 65)","(268, 69)","(272, 248)","(27, 246)"
p_8_18,"(74, 38)","(319, 40)","(315, 227)","(67, 231)"
p_8_19,"(77, 83)","(325, 79)","(323, 263)","(88, 257)"
p_8_20,"(35, 28)","(270, 34)","(271, 210)","(28, 219)"
p_8_21,"(68, 42)","(311, 33)","(313, 235)","(72, 217)"
p_8_22,"(83, 78)","(324, 96)","(325, 266)","(78, 261)"
p_8_23,"(25, 76)","(272, 81)","(271, 255)","(25, 255)"
p_8_24,"(74, 43)","(320, 43)","(320, 231)","(78, 231)"
p_8_25,"(37, 84)","(279, 84)","(276, 270)","(36, 265)"
p_8_26,"(79, 81)","(319, 86)","(329, 263)","(74, 263)"
p_8_27,"(39, 33)","(294, 33)","(286, 214)","(47, 213)"
p_8_28,"(27, 71)","(266, 72)","(268, 261)","(36, 259)"
p_8_29,"(31, 27)","(263, 29)","(264, 208)","(24, 208)"
p_9_0,"(78, 30)","(324, 30)","(323, 205)","(80, 216)"
p_9_1,"(31, 46)","(274, 35)","(284, 227)","(31, 224)"
p_9_2,"(34, 29)","(287, 32)","(278, 213)","(29, 211)"
p_9_3,"(77, 30)","(326, 32)","(330, 206)","(84, 216)"
p_9_4,"(73, 40)","(319, 30)","(314, 222)","(66, 224)"
p_9_5,"(32, 47)","(280, 45)","(277, 225)","(40, 223)"
p_9_6,"(31, 25)","(268, 27)","(276, 215)","(33, 209)"
p_9_7,"(72, 29)","(315, 35)","(314, 210)","(71, 209)"
p_9_8,"(29, 26)","(272, 27)","(269, 214)","(24, 209)"
p_9_9,"(70, 99)","(315, 104)","(321, 289)","(67, 277)"
p_9_10,"(31, 72)","(285, 84)","(278, 251)","(35, 258)"
p_9_11,"(31, 89)","(274, 82)","(277, 273)","(31, 283)"
p_9_12,"(31, 101)","(277, 91)","(277, 270)","(34, 277)"
p_9_13,"(68, 35)","(311, 28)","(307, 216)","(68, 213)"
p_9_14,"(42, 60)","(281, 63)","(284, 247)","(33, 246)"
p_9_15,"(76, 96)","(327, 97)","(324, 274)","(85, 275)"
p_9_16,"(88, 34)","(327, 33)","(324, 221)","(85, 218)"
p_9_17,"(74, 29)","(313, 32)","(319, 210)","(78, 208)"
p_9_18,"(29, 27)","(270, 29)","(267, 218)","(25, 214)"
p_9_19,"(78, 36)","(320, 40)","(318, 219)","(76, 220)"
p_9_20,"(27, 71)","(269, 70)","(273, 248)","(28, 247)"
p_9_21,"(28, 86)","(273, 87)","(275, 273)","(30, 288)"
p_9_22,"(29, 46)","(274, 31)","(268, 215)","(30, 216)"
p_9_23,"(61, 75)","(299, 74)","(304, 253)","(60, 249)"
p_9_24,"(79, 33)","(323, 37)","(328, 219)","(79, 221)"
p_9_25,"(40, 31)","(289, 29)","(280, 214)","(37, 217)"
p_9_26,"(24, 27)","(267, 24)","(267, 206)","(34, 204)"
p_9_27,"(33, 87)","(266, 89)","(275, 268)","(25, 268)"
p_9_28,"(32, 30)","(282, 30)","(273, 216)","(34, 219)"
p_9_29,"(78, 49)","(317, 46)","(317, 228)","(79, 228)"
p_10_0,"(68, 33)","(321, 33)","(317, 220)","(67, 208)"
p_10_1,"(33, 26)","(283, 38)","(279, 215)","(43, 218)"
p_10_2,"(38, 83)","(274, 80)","(263, 262)","(29, 264)"
p_10_3,"(57, 71)","(291, 69)","(306, 252)","(61, 245)"
p_10_4,"(74, 33)","(319, 40)","(315, 220)","(69, 225)"
p_10_5,"(33, 92)","(279, 87)","(277, 267)","(30, 272)"
p_10_6,"(63, 33)","(310, 28)","(316, 220)","(71, 221)"
p_10_7,"(73, 82)","(318, 81)","(311, 262)","(72, 257)"
p_10_8,"(74, 36)","(313, 41)","(315, 224)","(71, 223)"
p_10_9,"(66, 31)","(310, 32)","(314, 216)","(72, 216)"
p_10_10,"(67, 36)","(309, 36)","(307, 217)","(60, 203)"
p_10_11,"(32, 33)","(279, 47)","(285, 231)","(35, 224)"
p_10_12,"(66, 60)","(316, 67)","(312, 236)","(66, 239)"
p_10_13,"(78, 40)","(324, 37)","(322, 229)","(74, 228)"
p_10_14,"(36, 26)","(284, 27)","(284, 211)","(39, 210)"
p_10_15,"(39, 31)","(284, 32)","(291, 202)","(36, 208)"
p_10_16,"(32, 35)","(287, 29)","(277, 214)","(29, 223)"
p_10_17,"(66, 90)","(314, 81)","(319, 280)","(72, 268)"
p_10_18,"(64, 28)","(311, 40)","(309, 212)","(61, 217)"
p_10_19,"(65, 44)","(313, 39)","(307, 220)","(63, 223)"
p_10_20,"(29, 38)","(273, 35)","(275, 225)","(33, 216)"
p_10_21,"(35, 76)","(277, 85)","(274, 254)","(37, 262)"
p_10_22,"(35, 83)","(272, 75)","(273, 268)","(29, 267)"
p_10_23,"(71, 81)","(315, 82)","(323, 259)","(76, 260)"
p_10_24,"(24, 26)","(271, 25)","(267, 198)","(29, 208)"
p_10_25,"(38, 35)","(276, 25)","(278, 225)","(29, 220)"
p_10_26,"(68, 39)","(317, 44)","(322, 224)","(68, 221)"
p_10_27,"(59, 28)","(313, 31)","(305, 213)","(68, 207)"
p_10_28,"(34, 31)","(271, 37)","(268, 219)","(25, 217)"
p_10_29,"(30, 90)","(273, 92)","(277, 272)","(30, 272)"
p_11_0,"(28, 24)","(266, 24)","(258, 204)","(24, 211)"
p_11_1,"(64, 35)","(298, 28)","(297, 204)","(60, 212)"
p_11_2,"(40, 69)","(277, 61)","(280, 245)","(29, 251)"
p_11_3,"(25, 40)","(276, 34)","(273, 225)","(40, 223)"
p_11_4,"(77, 29)","(310, 31)","(318, 213)","(73, 209)"
p_11_5,"(38, 26)","(283, 30)","(280, 208)","(36, 206)"
p_11_6,"(76, 76)","(320, 78)","(318, 265)","(82, 268)"
p_11_7,"(31, 27)","(267, 24)","(269, 203)","(24, 208)"
p_11_8,"(67, 77)","(312, 72)","(315, 255)","(69, 260)"
p_11_9,"(31, 30)","(277, 25)","(270, 213)","(35, 214)"
p_11_10,"(31, 77)","(266, 76)","(269, 257)","(29, 258)"
p_11_11,"(73, 32)","(313, 31)","(319, 208)","(79, 216)"
p_11_12,"(33, 99)","(273, 91)","(265, 278)","(29, 268)"
p_11_13,"(80, 79)","(316, 89)","(315, 275)","(78, 271)"
p_11_14,"(72, 76)","(309, 80)","(313, 246)","(72, 260)"
p_11_15,"(24, 38)","(265, 24)","(262, 218)","(31, 208)"
p_11_16,"(36, 88)","(267, 98)","(272, 276)","(26, 273)"
p_11_17,"(97, 36)","(343, 39)","(341, 224)","(102, 235)"
p_11_18,"(67, 44)","(306, 33)","(303, 222)","(65, 216)"
p_11_19,"(31, 73)","(269, 79)","(277, 254)","(25, 254)"
p_11_20,"(27, 87)","(279, 87)","(273, 270)","(29, 277)"
p_11_21,"(71, 94)","(315, 87)","(317, 268)","(68, 263)"
p_11_22,"(29, 74)","(278, 79)","(274, 269)","(30, 267)"
p_11_23,"(25, 84)","(269, 86)","(277, 271)","(33, 261)"
p_11_24,"(83, 76)","(327, 86)","(321, 264)","(79, 249)"
p_11_25,"(75, 34)","(317, 49)","(316, 229)","(77, 234)"
p_11_26,"(68, 80)","(307, 75)","(302, 256)","(73, 260)"
p_11_27,"(79, 81)","(308, 77)","(325, 261)","(71, 263)"
p_11_28,"(68, 74)","(322, 72)","(314, 252)","(65, 256)"
p_11_29,"(31, 97)","(280, 93)","(280, 277)","(35, 277)"
p_12_0,"(79, 33)","(318, 33)","(319, 214)","(71, 213)"
p_12_1,"(73, 70)","(321, 71)","(314, 254)","(72, 246)"
p_12_2,"(25, 74)","(267, 82)","(279, 266)","(28, 258)"
p_12_3,"(90, 40)","(341, 48)","(335, 225)","(87, 231)"
p_12_4,"(70, 51)","(318, 45)","(320, 235)","(78, 233)"
p_12_5,"(69, 31)","(311, 33)","(308, 216)","(66, 209)"
p_12_6,"(79, 33)","(321, 40)","(328, 218)","(77, 220)"
p_12_7,"(75, 31)","(326, 29)","(321, 208)","(77, 210)"
p_12_8,"(26, 71)","(270, 69)","(274, 251)","(29, 254)"
p_12_9,"(75, 94)","(320, 91)","(316, 278)","(68, 282)"
p_12_10,"(29, 30)","(277, 26)","(279, 211)","(32, 211)"
p_12_11,"(67, 31)","(314, 31)","(313, 209)","(73, 208)"
p_12_12,"(38, 38)","(278, 39)","(270, 217)","(30, 225)"
p_12_13,"(66, 87)","(306, 79)","(314, 263)","(65, 273)"
p_12_14,"(56, 38)","(305, 28)","(312, 217)","(60, 204)"
p_12_15,"(66, 31)","(318, 44)","(310, 221)","(63, 225)"
p_12_16,"(69, 75)","(316, 71)","(312, 256)","(74, 253)"
p_12_17,"(26, 71)","(264, 74)","(265, 261)","(24, 256)"
p_12_18,"(30, 25)","(271, 30)","(274, 216)","(27, 214)"
p_12_19,"(58, 29)","(305, 31)","(308, 218)","(66, 204)"
p_12_20,"(40, 33)","(282, 47)","(278, 217)","(34, 216)"
p_12_21,"(59, 31)","(303, 32)","(302, 213)","(61, 212)"
p_12_22,"(29, 87)","(270, 88)","(274, 276)","(25, 277)"
p_12_23,"(82, 34)","(331, 33)","(335, 208)","(90, 219)"
p_12_24,"(38, 36)","(283, 25)","(279, 215)","(32, 214)"
p_12_25,"(38, 27)","(285, 28)","(279, 202)","(37, 207)"
p_12_26,"(73, 94)","(315, 89)","(318, 274)","(68, 275)"
